Numero sentiero tratta;Competenza;Denominazione;Difficoltà;Località inizio;Località fine;Quota inizio;Quota fine;Quota minima;Quota massima;Lunghezza plaminetrica;Lunghezza inclinata;Tempo andata;Tempo ritorno;Gruppo montagne interessate;Comuni toccati,miovalore,cancellato
O351B;SEZ. SAT SAN LORENZO IN BANALE;;E;PONT DE PARIDE;pr. MALGA BEN (b.351);1557;1735;0;1735;1300;1320;00:40;00:30;DOLOMITI DI BRENTA sud;S. Lorenzo in Banale,17,0
O352;SEZ. SAT MOLVENO;;E;LOCALITA' CROCE;TOVO VALON (b.353);950;1960;950;1960;5590;5710;03:00;02:10;DOLOMITI DI BRENTA centrale;Molveno,11,0
O352B;SEZ. SAT MOLVENO;;E;RIFUGIO LA MONTANARA (b.340B);PRATI DI MONTE (b.352);1505;1820;1505;1830;2900;2940;01:45;01:30;DOLOMITI DI BRENTA est;Molveno,18,0
O353;SEZ. SAT ANDALO;;E;QUOTA 1466 (b.301);CAMPO DELLA SPORA (b.301);1466;1877;1466;2130;5730;5830;03:00;02:30;DOLOMITI DI BRENTA est;Cavedago, Spormaggiore,20,0
O354;SEZ. SAT PINZOLO - ALTA RENDENA;;E;MASSIMENO;pr. PASSO BANDALORS  (b.307);861;1845;861;1847;7100;7220;03:15;02:30;DOLOMITI DI BRENTA sud;Massimeno, Bleggio Inferiore,11,0
O355;SEZ. SAT DIMARO;;T;pr. MALGA PRA'  DEL MAZA - SS 239;pr. MALGA SCALE - ruderi (b.329);1525;1590;1504;1630;4800;4870;01:50;01:50;DOLOMITI DI BRENTA nord;Pinzolo, Ragoli,12,0
O356;SEZ. SAT CARÈ ALTO;;E;PASSO DAONE - prà de l'Asen (b.300);PASSO DELLE MALGHETTE (b.350);1290;1726;1290;1805;7390;7490;02:40;02:15;DOLOMITI DI BRENTA sud;Montagne, Bocenago, Bleggio Inferiore,18,0
O356A;SEZ. SAT CARÈ ALTO;;E;PRAMARCIU' (b.356);MAGRERA (b.350);1417;1653;1417;1653;4490;4540;01:30;01:10;DOLOMITI DI BRENTA sud;Montagne, Bocenago, Bleggio Inferiore,20,0
O356B;SEZ. SAT CARÈ ALTO;;E;STABLEI (b.356A);PASSO CAMPIOL (b.356);1591;1571;1571;1591;450;460;00:15;00:10;DOLOMITI DI BRENTA sud;Montagne, Bocenago, Bleggio Inferiore,18,0
O357;SEZ. SAT PINZOLO - ALTA RENDENA;SENTIERO DEL DOSS DEL SABION;EE;MALGA CIOCA;PASSO BANDALORS  (b.307);1722;1848;1722;2100;4000;4060;01:30;01:20;DOLOMITI DI BRENTA sud;Pinzolo, Giustino,15,0
O358;"RIF. VAL D'AMBIEZ ""SILVIO AGOSTINI""";"VIA FERRATA ALPINISTICA ""LIVIO BRENTARI"" VF - EEA-D";EEA-D;pr. RIF. AMBIEZ S. AGOSTINI (b.321);"RIFUGIO ""TOMMASO PEDROTTI""  (b.318A-319)";2440;2487;2440;2859;4900;5020;03:10;03:00;DOLOMITI DI BRENTA sud;S. Lorenzo in Banale,18,0
O360;SEZ. SAT SPORMINORE;;E;SPORMINORE - piazza Anaunia;SELLA DEL MONTOZ (b.338);510;2327;0;2440;8120;8440;05:45;03:45;DOLOMITI DI BRENTA est;Sporminore,19,0
O361;SEZ. SAT SPORMINORE;;E;PLAN DE LE FRATE (b.360);CROZ DE LA MALGA  (b.360);620;1910;0;2013;6970;7200;04:15;02:50;DOLOMITI DI BRENTA est;Sporminore, Campodenno,16,0
O361A;SEZ. SAT VAL CADINO;;E;QUOTA 1730 (b.362);QUOTA 1780 (b.361);1730;1780;0;1780;990;1000;00:15;00:15;DOLOMITI DI BRENTA est;Campodenno,11,0
O362;SEZ. SAT VAL CADINO;;E;LOVER;MALGA CAMPA (b.338 e 370);600;1970;600;1970;6710;6920;04:00;02:30;DOLOMITI DI BRENTA est;Campodenno,11,0
O363;SEZ. SAT VAL CADINO, SEZ. SAT SPORMINORE;;E;QUOTA 1940 (b.362);COL (b.361);1940;2013;0;2100;1810;1840;00:45;00:40;DOLOMITI DI BRENTA est;Campodenno, Sporminore,13,0
O365;SEZ. SAT DIMARO;;EE;VAL PIANA (b.329);VERSANTE S CIMA SASSO ROSSO (b.329);1015;2400;1015;2400;6900;7100;04:30;03:20;DOLOMITI DI BRENTA nord;Dimaro, Cles,20,0
O365B;SEZ. SAT DIMARO;SENTIERO DEI TOVI DI SANT ANTONI;E;VAL DEI CORNAI (b.365);QUOTA 1400 (b.329);1550;1400;1400;1600;1100;1140;00:30;00:40;DOLOMITI DI BRENTA nord;Dimaro,16,0
O368;SEZ. SAT DENNO;SENTIERO TERRES;E;TERRES;MALGA D'ARZA (b.330);572;1517;572;1661;10530;10640;04:15;03:00;DOLOMITI DI BRENTA est;Terres,14,0
O369;SEZ. SAT TUENNO;SENTIERO DELLA VAL SCURA;E;PONTE SUL RIO TRESENGA (b.314-334);ALPE CAMPA (b.338);1560;2236;1560;2376;6300;6400;03:15;03:00;DOLOMITI DI BRENTA est;Tuenno, Sporminore,18,0
O370;SEZ. SAT DENNO;;E;pr. MALGA D'ARZA (b.330);MALGA CAMPA (b.338-362);1551;1978;1551;1978;4800;4830;01:50;01:20;DOLOMITI DI BRENTA est;Denno, Campodenno, Sporminore,18,0
O371;SEZ. SAT TUENNO;;E;MALGA POZZOL  (b.314);CAMPO FLAVONA (b.301);1632;2198;1632;2198;5100;5160;02:00;01:30;DOLOMITI DI BRENTA est;Tuenno,15,0
O371B;SEZ. SAT TUENNO;;E;VERSANTE N TURION BASSO (b.371);VAL DI SANTA MARIA FLAVONA (b.314);2010;2033;2010;2033;1300;1310;00:45;00:45;DOLOMITI DI BRENTA est;Tuenno,18,0
O373;SEZ. SAT RALLO;SENTIERO DELLA LASTA;E;CIARETAR;QUOTA 1360 (b.313B);768;1360;768;1360;4000;4070;01:40;01:10;DOLOMITI DI BRENTA nord;Tassullo,13,0
O374;SEZ. SAT MALÈ;;EEA;BAITA REGAZZINI (b.308);RIFUGIO PELLER (b.313-337);764;1990;764;1990;8100;8210;03:40;02:40;DOLOMITI DI BRENTA nord;Cles, Caldes, Terzolas, Malè,19,0
O380;SEZ. SAT TUENNO;VIA FERRATA DEL SALT DE VAL GELADA VF - EEA-D;EEA-D;VAL MADRIS (b.310);PASSO VAL GELADA DI TUENNO (b.336);1820;2686;1820;2686;5300;5400;03:30;02:50;DOLOMITI DI BRENTA nord;Tuenno,11,0
O382;"RIF. GROSTÈ ""GIORGIO GRAFFER""";;EEA;RISTORANTE VALLESINELLA (b.317);"RIF. GROSTE ""GIORGIO GRAFFER"" (b.301-331-336)";1513;2263;1513;2263;5600;5660;02:20;01:45;DOLOMITI DI BRENTA centrale;Ragoli,19,0
O390;"RIF. GROSTÈ ""GIORGIO GRAFFER""";"VIA FERRATA ""GUSTAVO VIDI"" VF - EEA-PD";EEA-PD;PASSO GROSTE' (b.301-305-306-316);ORTO (b.336);2442;2522;2442;2663;2800;2840;01:50;01:45;DOLOMITI DI BRENTA nord;Tuenno, Ragoli,12,0
O391;SEZ. SAT PINZOLO - ALTA RENDENA;"SENTIERO ATTREZZATO ""RICCARDO VIOLI"" SAA - EE";E;RIFUGIO CASINEI (b.317-317B-318);QUOTA 1990 (b.323);1825;1990;1810;1990;3700;3720;01:20;01:10;DOLOMITI DI BRENTA centrale;Ragoli,12,0
O396;SEZ. SAT O.C.;"VIA FERRATA ""OLIVA DETASSIS"" VF - EEA-D";EEA-D;BASE NE DEI GEMELLI (b.323);BOCCHETTA BASSA DEI MASSODI (b.305);2520;2790;2520;2790;1300;1330;01:00;00:50;DOLOMITI DI BRENTA centrale;Ragoli, Molveno,15,0
O401;SEZ. SAT RIVA DEL GARDA;;E;VARONE - Via Carducci;PRAI DA GOM (b.407);150;1125;150;1125;11480;11720;04:30;03:50;CASALE - BRENTO - MISONE;Tenno, Arco,19,0
O402;SEZ. SAT RIVA DEL GARDA, SEZ. SAT LEDRENSE;;E;pr. BASTIONE (b.404);PASTORIA - Val di Concei;210;855;210;1581;13600;13880;05:25;05:15;LEDRENSI / Rocchetta - Cima Parì;Concei, Riva del Garda,17,0
O402A;SEZ. SAT RIVA DEL GARDA;;E;pr. MALGA DOSSO DEI FIORI (b.402);pr. RIF. BOCCA DI TRAT(b.402-403-413-420-445);1430;1581;1430;1581;610;630;00:25;00:15;LEDRENSI / Rocchetta - Cima Parì;Riva del Garda,18,0
O403;SEZ. SAT LEDRENSE;SENTER DE VAL DA VAI;E;LENZUMO - Tares;pr. RIF. BOCCA TRAT (b.402-402A-413-420-445);788;1581;788;1581;4900;4990;02:30;01:50;LEDRENSI / Rocchetta - Cima Parì;Concei,10,0
O404;SEZ. SAT RIVA DEL GARDA;VIA FERRATA DEL BASTIONE E DELLA ROCCHETTA - VF - EEA-F;EEA-F;RIVA DEL GARDA;BOCHET DEI CONCOLI (b.417);90;1207;90;1207;5000;5190;03:10;02:30;LEDRENSI / Rocchetta - Cima Parì;Riva del Garda,10,0
O404A;SEZ. SAT RIVA DEL GARDA;;EE;QUOTA 780 (b.405);QUOTA 900 (b.404);780;900;780;900;500;520;00:30;00:20;LEDRENSI / Rocchetta - Cima Parì;Riva del Garda,12,0
O404B;SEZ. SAT RIVA DEL GARDA;VIA FERRATA DELL'AMICIZIA VF - EEA-D;EEA-D;BAITA DEI VVFF (b.404);VERSANTE E CIMA ROCCHETTA (b.418);600;1250;600;1250;1400;1580;02:40;02:40;LEDRENSI / Rocchetta - Cima Parì;Riva del Garda,11,0
O405;SEZ. SAT RIVA DEL GARDA;"VIA FERRATA ""FAUSTO SUSATTI"" VF - EEA-PD";EEA-PD;VAL SPERONE - inizio a 3 km da Riva;CONDOTTE FORZATE (b.404);150;375;150;907;5420;5710;05:00;05:00;LEDRENSI / Rocchetta - Cima Parì;Molina di Ledro,20,0
O405B;SEZ. SAT RIVA DEL GARDA;;EE;QUOTA 820 - in Val Sperone (b.405);VAL VOSOTINA ALTA (b.417);820;1000;0;1000;710;760;00:40;00:30;LEDRENSI / Rocchetta - Cima Parì;Molina di Ledro,13,0
O406;SEZ. SAT FIAVÈ, SEZ. SAT RIVA DEL GARDA;;E;BALLINO - chiesa;RIFUGIO MONTE SAN PIETRO (b.401);755;974;570;974;7500;7610;02:40;02:30;CASALE - BRENTO - MISONE;Fiavè, Tenno, Riva del Garda,15,0
O406A;SEZ. SAT RIVA DEL GARDA;;E;TERRA ROSSA (b.406);CASA BASTIANI (b.406);690;854;690;854;1950;1980;00:40;00:35;CASALE - BRENTO - MISONE;Tenno,12,0
O406B;SEZ. SAT RIVA DEL GARDA;;E;TENNO (b.401);CANALE (b.406);444;598;444;598;2000;2020;00:40;00:30;CASALE - BRENTO - MISONE;Tenno,13,0
O407;SEZ. SAT ARCO;;E;MANDREA (b.408);MARCARIE (b.408-408B-425);620;1073;620;1390;7100;7200;03:10;02:40;CASALE - BRENTO - MISONE;Arco,17,0
O408;SEZ. SAT ARCO, SEZ. SAT PONTE ARCHE;;EE;ARCO - Parco Arciducale;LE QUADRE (b.411);91;1481;91;1485;16090;16310;06:45;05:20;CASALE - BRENTO - MISONE;Arco, Lomaso,15,0
O408B;SEZ. SAT ARCO, SEZ. SAT PONTE ARCHE;;EE;pr. MARCARIE (b.407-408-425);VAL BONA ALTA (b.408);1073;1365;1073;1545;5380;5500;02:20;02:00;CASALE - BRENTO - MISONE;Arco,11,0
O409;SEZ. SAT ARCO;;E;BIVIO STRADA VARIGNANO-PADARO;VERSANTE SE MONTE BIAINA (b.407-407A);200;1125;200;1125;5500;5620;02:50;02:15;CASALE - BRENTO - MISONE;Arco,18,0
O409B;SEZ. SAT ARCO;SENTIERO PIAZZOLE;E;CAVA CEMENTI (b.409);BOCCA DI TOVO (b.409);260;1079;260;1079;4100;4190;02:10;01:30;CASALE - BRENTO - MISONE;Arco,13,0
O410;SEZ. SAT PONTE ARCHE, SEZ. SAT RIVA DEL GARDA;;E;MALGA LOMASONA;CALINO (b.406);536;940;536;966;5180;5230;02:10;01:45;CASALE - BRENTO - MISONE;Lomaso, Tenno,19,0
O411;SEZ. SAT PONTE ARCHE;;E;SS 237 DEL CAFFARO - km 102 (b.349B);MONTE CASALE;460;1632;460;1632;7800;7930;03:20;02:30;CASALE - BRENTO - MISONE;Lomaso,13,0
O412;SEZ. SAT RIVA DEL GARDA;;E;pr. SELLA MONTE CALINO (b.410);MALGA DI TENNO (b.433);958;1575;958;1575;3200;3270;02:00;01:20;CASALE - BRENTO - MISONE;Tenno,16,0
O413;SEZ. SAT RIVA DEL GARDA;SENTIERO DELLE CIME;EE;VALLONE DEI CONCOLI (b.404);pr. BOCCA DI TRAT (b.402-402A-403-420-445);1100;1581;1100;1720;9790;9930;04:00;03:30;LEDRENSI / Rocchetta - Cima Parì;Riva del Garda,14,0
O413A;SEZ. SAT RIVA DEL GARDA;;EE;VALLONE DEI CONCOLI (b. 404);QUOTA 1180 (b.413);1170;1180;1170;1180;250;260;00:10;00:10;LEDRENSI / Rocchetta - Cima Parì;Riva del Garda,18,0
O414;SEZ. SAT LEDRENSE, SEZ. SAT TIONE;SENTER DEI GUI';E;RIFUGIO AL FAGGIO - Val di Concei;MALGA GAVARDINA;963;1386;963;1878;8000;8180;03:50;03:30;LEDRENSI / Cadria - Stigolo;Concei, Zuclo,17,0
O414B;SEZ. SAT LEDRENSE;SENTER DE LOMAR;E;BAIT DE LE VELE (b.414);VERSANTE O DEL DOSS DE LOMAR (b.452);986;1550;986;1550;2500;2580;01:30;01:00;LEDRENSI / Cadria - Stigolo;Concei,11,0
O415;SEZ. SAT LEDRENSE;SENTER DE CROINA;E;TIARNO DI SOTTO (b.416);MALGA VIES (b.423-424-459);735;1555;735;1605;6740;6830;03:00;02:10;LEDRENSI / Cadria - Stigolo;Tiarno di Sotto, Bezzecca,17,0
O416;SEZ. SAT LEDRENSE;SENTER DEL PIA';E;TIARNO DI SOTTO (b.415);BOCCA CASET (b.419-456B);735;1608;735;1608;6200;6290;02:40;02:00;LEDRENSI / Tombea - Tremalzo - Carone;Tiarno di Sotto, Tiarno di Sopra,11,0
O416B;SEZ. SAT LEDRENSE;SENTER DE MASOLIV;E;TIARNO DI SOPRA;pr. CIMA VAI (b.416);742;1230;742;1230;2900;2950;01:30;01:00;LEDRENSI / Tombea - Tremalzo - Carone;Tiarno di Sopra,10,0
O417;SEZ. SAT RIVA DEL GARDA;VIA DE ARI E SENTIERO;E;BIACESA;VERSANTE N DI CIMA VALDES (b.413);418;1460;418;1577;6300;6510;04:00;03:15;LEDRENSI / Rocchetta - Cima Parì;Molina di Ledro, Riva del Garda,18,0
O417A;SEZ. SAT RIVA DEL GARDA;;E;VERSANTE NE DI CIMA GIOCHELLO (b.413);SELLA NO DI CIMA GIOCHELLO (b.417);1420;1485;1420;1485;460;480;00:20;00:20;LEDRENSI / Rocchetta - Cima Parì;Riva del Garda,17,0
O418;SEZ. SAT RIVA DEL GARDA;SENTER DEI CRAZIDEI;E;pr. SAN GIOVANNI - ruderi;VERSANTE E DI CIMA ROCCHETTA (b.413);470;1300;470;1300;2400;2550;02:20;01:30;LEDRENSI / Rocchetta - Cima Parì;Riva del Garda,10,0
O419;SEZ. SAT LEDRENSE;SENTER DE MALGA GIU';E;PIAN DI PUR (b.421);TREMALZO - bivio strada asfaltata;669;1521;669;1608;9400;9510;03:30;02:50;LEDRENSI / Tombea - Tremalzo - Carone;Molina di Ledro, Tiarno di Sopra,15,0
O420;SEZ. SAT FIAVÈ, SEZ. SAT RIVA DEL GARDA;;E;pr. PASSO DEL BALLINO;pr. BOCCA DI TRAT (b.402-402A-403-413-445);760;1581;760;2151;15200;15430;06:00;05:30;LEDRENSI / Pichea - Gavardina - Cogorna;Fiavè, Tenno, Concei, Riva del Garda,20,0
O421;SEZ. SAT LEDRENSE;;E;PRE';PIAN DI PUR (b.419);490;669;490;1266;14300;14430;04:20;04:00;LEDRENSI / Tombea - Tremalzo - Carone;Molina di Ledro,11,0
O422;SEZ. SAT RIVA DEL GARDA;;E;pr. PREGASINA (b.422B);PASSO DI VIL - o Passo Guil (b.421);560;1209;560;1240;4500;4620;02:20;01:45;LEDRENSI / Tombea - Tremalzo - Carone;Riva del Garda,19,0
O422A;SEZ. SAT ROVERETO;SENTER DE LA COSTA;EE;CALCHEROLE (b.422B);BOCCA LARICI - bivio 122-130-CAI (b.422B);655;881;655;900;970;1070;01:20;01:00;LEDRENSI / Tombea - Tremalzo - Carone;Riva del Garda,19,0
O422B;SEZ. SAT RIVA DEL GARDA;SENTER DE PALAER;T;PREGASINA;PASSO DELLA ROCCHETTA (b.422);532;1159;532;1159;4400;4480;02:00;01:20;LEDRENSI / Tombea - Tremalzo - Carone;Riva del Garda,20,0
O423;SEZ. SAT LEDRENSE;SENTER DE VIES;E;VAL MOLINI - ex centrale elettrica (b.452);MONTE CADRIA - o Monte Geometra (b.455);945;2254;945;2254;5600;5770;03:40;02:40;LEDRENSI / Cadria - Stigolo;Concei,12,0
O424;SEZ. SAT LEDRENSE;SENTER DEI CANAI;E;PLAZA - Val dei Molini (b.459);MALGA VIES (b.415-423-459);800;1555;800;1555;3000;3110;02:20;01:40;LEDRENSI / Cadria - Stigolo;Bezzecca,10,0
O425;SEZ. SAT ARCO, SEZ. SAT PONTE ARCHE;SENTIERO ATTREZZATO DELL'ANGIOM;EE;DRO - ponte sul Sarca;LUNDO;121;749;121;1090;10700;10870;04:45;04:15;CASALE - BRENTO - MISONE;Arco, Dro,14,0
O426;SEZ. SAT TOBLINO - PIETRAMURATA, SEZ. SAT PONTE ARCHE;VIA FERRATA DEL RAMPIN VF - EEA-PD;EEA-PD;PIETRAMURATA;GODENZO;248;558;248;1370;8100;8370;04:50;04:30;CASALE - BRENTO - MISONE;Dro, Lomaso,18,0
O427;SEZ. SAT TOBLINO - PIETRAMURATA;;E;PONTE DEL GOBBO - SS 45 bis;"CAPANNA ""DON ZIO PISONI"" (b.411)";254;1600;254;1600;8400;8600;04:10;03:10;CASALE - BRENTO - MISONE;Dro, Calavino, Lomaso,18,0
O427B;SEZ. SAT TOBLINO - PIETRAMURATA;;E;GALLERIA MOTTE - SS 237 del Caffaro;QUOTA 515 (b.427);410;515;0;515;600;610;00:20;00:15;CASALE - BRENTO - MISONE;Calavino,20,0
O428;SEZ. SAT ARCO;SENTIERO ATTREZZATO DEGLI SCALONI SAA - EE;EE;CENIGA - ponte romano (b.431);SANT'ANTONIO - strada provinciale (b.408);118;766;118;766;2600;2740;02:10;01:40;CASALE - BRENTO - MISONE;Dro,19,0
O428B;SEZ. SAT ARCO;;E;DOS TONDO (b.428);LASTONI (b.425);507;445;445;507;2000;2010;01:00;01:00;CASALE - BRENTO - MISONE;Dro,17,0
O429;SEZ. SAT RIVA DEL GARDA;;EE;TOF (b.422);BIACESA - bivio strada;660;357;357;800;2090;2200;01:30;01:45;LEDRENSI / Tombea - Tremalzo - Carone;Riva del Garda,20,0
O429A;SEZ. SAT RIVA DEL GARDA;;EE;QUOTA 786 (b.429);BOCCA DA LE' (b.429-430);786;800;786;850;530;560;00:25;00:25;LEDRENSI / Tombea - Tremalzo - Carone;Riva del Garda,10,0
O430;SEZ. SAT RIVA DEL GARDA;SENTER DI CIMA NARA;EE;BOCCA DA LE' (b.429-429A);PRATI DI VIL - o Prati Guil (b.422);800;1250;800;1360;4410;4550;03:00;02:15;LEDRENSI / Tombea - Tremalzo - Carone;Riva del Garda,19,0
O430A;SEZ. SAT RIVA DEL GARDA;;EE;QUOTA 1058 (b.430);CITTADELLA MILITARE - ruderi (b.430);1058;1099;1058;1099;170;180;00:10;00:05;LEDRENSI / Tombea - Tremalzo - Carone;Riva del Garda,16,0
O430B;SEZ. SAT RIVA DEL GARDA;VARIANTE DEL SENTER DI CIMA NARA;EE;CRESTA N DI CIMA NARA (b.430);CRESTA S DI CIMA NARA (b.430);1257;1360;1257;1360;870;880;00:20;00:15;LEDRENSI / Tombea - Tremalzo - Carone;Riva del Garda,16,0
O431;SEZ. SAT ARCO;SENTIERO DEL MONTE COLT;EEA;S. MARIA DI LAGHEL (b.408);CENIGA - ponte romano (b.428);220;118;118;430;4800;4910;02:45;02:50;CASALE - BRENTO - MISONE;Arco,19,0
O431B;SEZ. SAT ARCO;VIA FERRATA DEI COLODRI VF - EEA-PD;EEA-PD;PRABI DI ARCO;pr. CIMA COLODRI (b.431);100;390;100;400;1200;1260;01:30;01:20;CASALE - BRENTO - MISONE;Arco,14,0
O432;SEZ. SAT FIAVÈ;;E;PASSO BALLINO - SS 421 km 48,2;CALCHEROLA - o Sella Misone (b.433);764;1585;764;1585;4600;4690;02:00;01:40;CASALE - BRENTO - MISONE;Fiavè,16,0
O433;SEZ. SAT FIAVÈ;;E;FAVRIO;MALGA DI TENNO (b.412);652;1575;652;1612;7500;7620;03:00;02:15;CASALE - BRENTO - MISONE;Fiavè, Lomaso,15,0
O443;SEZ. SAT STORO;;E;PONTE REGA' - SS 240 km 46,5;pr. FIENILI DI SPESSA (b.444);600;1350;600;1350;3800;3890;02:00;01:20;LEDRENSI / Tombea - Tremalzo - Carone;Storo,14,0
O444;SEZ. SAT STORO;;EE;STORO - ponte della scaletta;PASSO DI TREMALZO;388;1665;388;1827;22300;22630;09:40;08:50;LEDRENSI / Tombea - Tremalzo - Carone;Bondone, Tiarno di Sopra,18,0
O445;SEZ. SAT RIVA DEL GARDA;SENTIERO DELLA REGINA;EE;LAGO DI TENNO - parcheggio;pr. RIF. BOCCA TRAT (b.402-402A-403-413-420);600;1581;600;1708;6100;6270;05:00;03:45;LEDRENSI / Pichea - Gavardina - Cogorna;Tenno,18,0
O448;SEZ. SAT PIEVE DI BONO;SENTER DE RINGIA;E;MALGA RINGIA;pr. MALGA CADRIA (b.423);1398;1914;1398;1954;3900;3960;01:40;01:20;LEDRENSI / Cadria - Stigolo;Bezzecca, Pieve di Bono,10,0
O449;SEZ. SAT LEDRENSE;;E;CHIESA DI SAN GIORGIO;pr. CIMA PALON (b.450);860;1538;860;1538;3900;3990;02:00;01:30;LEDRENSI / Cadria - Stigolo;Tiarno di Sotto,11,0
O450;SEZ. SAT PIEVE DI BONO;SENTER DE LE GRESTE;E;RANGO;POZZA DI CADRIA (b.448);1199;1954;1199;1954;10490;10580;04:00;03:10;LEDRENSI / Cadria - Stigolo;Condino, Tiarno di Sopra, Tiarno di Sotto, Bezzecca,13,0
O451;SEZ. SAT LEDRENSE;SENTER DE GIUMELLA;E;BARCESINO - frazione di Molina di Ledro;BOCCA GIUMELLA (b.413);607;1410;607;1410;4170;4300;02:30;01:45;LEDRENSI / Rocchetta - Cima Parì;Molina di Ledro,11,0
O452;SEZ. SAT LEDRENSE;SENTER DE LE BAITE;E;VAL MOLINI - ex centrale elettrica (b.423);SELLA DE LOMAR (b.414);945;1600;945;1600;7300;7390;03:20;02:50;LEDRENSI / Cadria - Stigolo;Concei,10,0
O452B;SEZ. SAT LEDRENSE;SENTER DE VESI';E;PONTE DEI CARRI;BAITA VESI' (b.452);895;1472;895;1472;2400;2480;01:40;01:15;LEDRENSI / Cadria - Stigolo;Concei,10,0
O453;SEZ. SAT LEDRENSE;SENTER DE DROMAE';E;MEZZOLAGO;CAMPIGOLO - o Bocca Dromaè (b.413);674;1680;674;1680;5000;5130;02:50;02:00;LEDRENSI / Rocchetta - Cima Parì;Molina di Ledro,11,0
O454;SEZ. SAT LEDRENSE;SENTER DE SAVAL;E;PIEVE DI LEDRO;pr. BOCCA DI SAVAL (b.413);668;1720;668;1740;6300;6420;03:15;02:15;LEDRENSI / Rocchetta - Cima Parì;Pieve di Ledro, Riva del Garda,17,0
O455;SEZ. SAT FIAVÈ, SEZ. SAT TIONE, SEZ. SAT PIEVE DI BONO;SENTIERO DELLA PACE;EE;SELLA DEL DOSS DELLA TORTA (b.420);MONTE CADRIA - o Monte Geometra (b.423);2100;2254;0;2254;9000;9150;04:50;04:30;LEDRENSI / Pichea - Gavardina - Cogorna;Concei, Zuclo, Tione di Trento, Pieve di Bono, Bezzecca, Molina di Ledro,10,0
O456;SEZ. SAT LEDRENSE;SENTER DE SAN MARTIN;EEA;PIEVE DI LEDRO;TORNANTE STRADA PER BOCCA CASET (b.419);659;1340;659;1340;7100;7180;03:10;02:40;LEDRENSI / Tombea - Tremalzo - Carone;Pieve di Ledro, Molina di Ledro,18,0
O456B;SEZ. SAT LEDRENSE;"VIA FERRATA ""FIORE MORA E MAURO PELLEGRINI"" - VF - EEA-F";EEA-F;BOCHET DE LA SPINERA (b.456);BOCCA CASET (b.416-419);1320;1608;1320;1650;4600;4650;03:30;03:10;LEDRENSI / Tombea - Tremalzo - Carone;Pieve di Ledro, Bezzecca, Molina di Ledro, Tiarno di Sopra,16,0
O457;SEZ. SAT LEDRENSE;SENTER DEL PRA DELLA ROSA;E;pr. PASSO NOTA (b.421);pr. MALGA GIU' (b.419);1209;1300;1209;1542;9700;9790;03:15;03:15;LEDRENSI / Tombea - Tremalzo - Carone;Molina di Ledro,13,0
O457B;SEZ. SAT LEDRENSE;SENTER DE MALGA COR;E;MALGA CITA (b.419);QUOTA 1270 (b.457);747;1270;747;1270;2300;2370;01:30;01:15;LEDRENSI / Tombea - Tremalzo - Carone;Molina di Ledro,16,0
O458;SEZ. SAT LEDRENSE;;E;PONTE DEL VISI';BESTEM;884;1004;884;1583;8700;8840;04:00;03:50;LEDRENSI / Cadria - Stigolo;Tiarno di Sopra, Condino,11,0
O459;SEZ. SAT LEDRENSE;SENTER DE CHELINA;E;PLAZA - Val dei Molini (b.424);MALGA VIES (b.415-423-424);800;1555;800;1699;5100;5230;03:30;03:00;LEDRENSI / Cadria - Stigolo;Bezzecca,20,0
O459B;SEZ. SAT LEDRENSE;;E;LENZUMO;BOCHET DE ZORI (b.459);796;1174;796;1174;1300;1360;01:15;01:00;LEDRENSI / Cadria - Stigolo;Concei,17,0
O460;SEZ. SAT RIVA DEL GARDA;"VIA FERRATA ""MARIO FOLETTI"" VF - EEA-PD";EEA-PD;VAL VASOTINA - località Le Frate (b.417);CRESTA SSE DI CIMA ROCCA (b.405);675;880;675;880;1400;1440;01:20;01:10;LEDRENSI / Rocchetta - Cima Parì;Molina di Ledro,11,0
O460B;SEZ. SAT RIVA DEL GARDA;;EE;pr. CHIESETTA DI SAN GIOVANNI (b.460);pr. BOCCA PASUMER (b.471);840;960;840;960;700;720;00:20;00:15;LEDRENSI / Rocchetta - Cima Parì;Molina di Ledro,15,0
O461;SEZ. SAT FIAVÈ;;EE;CORNELLE;MALGA NARDIS (b.420);711;1784;711;1925;7300;7470;03:30;02:30;LEDRENSI / Pichea - Gavardina - Cogorna;Bleggio Superiore, Fiavè,14,0
O462;SEZ. SAT FIAVÈ;;EE;BALBIDO - frazione di Bleggio Superiore;MALGA CASINA COGORNA - Bivacco (b.461);760;1667;760;1667;7400;7550;03:30;02:50;LEDRENSI / Pichea - Gavardina - Cogorna;Fiavè, Bleggio Superiore,10,0
O462B;SEZ. SAT FIAVÈ;;EE;LE CORDE - presso Duinella (b.461);COSTE ALTE DI INDOS (b.420);825;1160;825;1160;3100;3160;01:40;01:10;LEDRENSI / Pichea - Gavardina - Cogorna;Fiavè,14,0
O463;SEZ. SAT FIAVÈ, SEZ. SAT TIONE;;EE;DURON - presso il Ristorante;MONTE GAVARDINA (b.455);986;2047;0;2047;12700;12880;05:50;04:50;LEDRENSI / Pichea - Gavardina - Cogorna;Bleggio Superiore, Tione di Trento, Bolbeno,18,0
O464;SEZ. SAT FIAVÈ;;E;MASO CLENA;GREPER DE NARDIS (b.420);741;1900;741;1914;8800;8980;04:45;03:40;LEDRENSI / Pichea - Gavardina - Cogorna;Bleggio Superiore, Fiavè,12,0
